R$/US$-Sócio	TOTAL DA RECEITA-Sócio	Indústria de transformação-Sócio	RESIDENCIAL (MWh)-Interligado CATIVO	INDUSTRIAL (MWh)-Interligado CATIVO	COMERCIAL (MWh)-Interligado CATIVO	RURAL (MWh)-Interligado CATIVO	PODER PÚBLICO (MWh)-Interligado CATIVO	ILUMINAÇÃO PÚBLICA (MWh)-Interligado CATIVO
1.804	101428263.34	2.634	124933.852	54856.289	65546.696	3155.981	20281.289	13720.881	
1.775	96561590.59	3.004	116612.446	54882.434	63721.644	2996.332	17559.768	14054.113	
1.742	91292905.82	2.245	117744.889	56042.04	65288.236	2922.176	18748.792	14377.4	
1.768	95883159.99	1.95	121627.889	54933.426	66321.174	2860.565	20400.84	14540.743	
1.828	93425700.23	2.768	121566.523	57246.604	68546.333	2982.113	19392.788	14332.747	
1.808	100571333.15	2.756	127017.267	55544.708	71510.242	3243.426	21401.976	14418.839	
1.798	115879522.26	2.659	126696.691	57601.604	70514.146	3343.525	20858.617	14437.815	
1.809	116025717.58	3.63	125147.326	59949.65	70785.401	3452.752	18606.419	14998.718	
1.839	107097775.81	3.315	130010.479	61990.431	70984.923	3605.668	21290.088	15286.78	
1.88	120635384.45	2.357	131071.333	63984.061	75373.362	4090.646	22068.257	15430.462	
1.948	112818099.71	1.89	134359.466	62467.58	72627.647	3813.382	21943.156	16331.371	
1.963	109684945.00	1.509	134118.897	61044.186	72300.406	3741.137	22945.858	16840.82	
1.954	122980037.48	2.427	128113.545	57944.264	68408.239	3368.214	19342.328	16633.713	
2.002	106184313.76	2.96	120684.707	58302.979	65716.687	3176.591	18465.295	16545.541	
2.089	115066211.49	2.205	122286.648	59899.586	66136.27	3260.41	18930.692	16854.602	
2.192	133612938.67	3.054	125055.557	58582.184	69374.834	3436.504	21001.84	16377.066	
2.297	123367695.54	2.655	124640.307	59879.274	70784.918	3388.23	20982.44	16816.213	
2.376	137745686.11	2.613	123377.506	59377.083	68796.35	3460.237	21899.228	16723.711	
2.466	131225875.17	2.892	113190.374	59538.333	62962.41	3162.108	18758.629	17143.979	
2.511	152712730.21	2.809	110758.559	56629.701	60962.102	3500.417	15486.024	16428.124	
2.672	135708796.60	2.929	109504.31	52328.662	63184.259	4187.476	16783.593	15833.234	
2.74	137599912.54	2.636	100715.753	58378.781	63043.858	3518.407	17336.782	13610.769	
2.543	141740704.89	2.527	105982.962	56028.132	64676.896	3764.69	17362.296	13682.759	
2.363	130817434.49	1.29	103348.832	60587.537	67583.955	3710.309	17476.064	14115.068	
2.378	157951844.17	2.287	112714.771	52792.86	61155.857	3632.048	16749.018	14283.127	
2.42	135795497.60	1.629	106441.721	57013.969	60214.43	3355.855	16809.363	16142.906	
2.347	136382276.31	2.111	103953.416	58896.568	61507.747	3422.012	16054.13	17013.971	
2.32	137810181.06	2.827	115101.852	59012.885	63846.993	3622.047	18238.258	17346.948	
2.48	137941942.05	2.942	117116.017	59212.001	68118.898	3925.817	20322.354	17703.68	
2.714	142064296.89	3.007	119210.031	57133.263	68255.74	3874.614	20811.59	17660.335	
2.935	151840240.05	3.857	116741.939	64442.597	69813.879	3935.726	19550.253	17897.634	
3.11	165776373.11	3.747	121064.631	66747.072	70818.509	4327.804	17559.583	17846.901	
3.342	163735382.10	3.273	124127.286	68131.596	73529.299	4417.869	21619.286	18017.81	
3.806	159500264.97	3.216	128016.302	69611.291	75494.636	4867.691	22550.695	18168.493	
3.576	179094427.12	2.699	124861.785	69705.225	71604.498	4838.635	22030.435	18284.759	
3.626	174673381.10	1.472	120771.923	72318.437	73839.219	4372.811	22502.927	18125.876	
3.438	176903477.43	2.9	126555.249	68126.488	70714.869	4481.001	19413.475	18010.893	
3.591	191318034.49	2.598	119833.051	67478.218	68817.628	4115.405	20576.622	18401.156	
3.447	164403194.72	2.612	110168.399	68858.179	64792.157	4053.855	18902.802	18437.527	
3.119	160719437.95	3.15	118417.59	67927.169	68113.157	4175.146	20155.977	18260.838	
2.956	186070350.74	2.97	120129.725	68258.174	70820.264	4240.698	20825.319	18333.107	
2.883	177324864.09	3.375	126590.753	71992.711	75016.89	4474.47	23168.424	18455.075	
2.88	195481625.77	4.157	125564.02	74808.607	75690.916	4843.06	22727.212	18636.017	
3.002	193320270.26	3.378	130322.604	71971.922	71017.304	4441.688	20647.323	18685.695	
2.923	206942049.67	3.631	129705.599	80307.631	78051.737	4961.365	22765.433	18769.65	
2.862	203327487.70	3.381	131731.415	81089.212	79736.322	5308.508	24031.919	18730.777	
2.914	209764200.19	2.895	131416.265	74802.084	77781.099	5488.21	24488.052	18710.574	
2.925	209741341.82	1.266	130684.794	77547.949	79486.956	5254.867	26154.866	18820.372	
2.852	220364297.33	3.585	131818.431	73833.706	74973.499	5074.222	21811.769	18820.889	
2.93	207139532.24	3.339	117339.01	71451.435	67354.558	4643.296	22786	18414.711	
2.906	178875399.49	3.62	120628.909	78838.987	73029.081	4859.457	20125.777	18507.594	
2.906	193036322.29	4.404	127725.913	74358.984	73487.877	5048.533	23677.311	18523.027	
3.1	214437536.18	3.709	128287.902	79733.903	76747.021	5186.117	24239.523	18423.907	
3.129	209534653.88	4.618	131858.535	80635.154	79382.692	5360.801	26197.7	18400.079	
3.037	210599676.15	4.701	126653.07	81332.772	76828.447	5370.681	24484.691	18439.936	
3.003	215466190.11	4.887	127849.993	86649.89	77538.726	5620.201	20897.436	18444.273	
2.891	227057664.81	5.28	132127.974	84605.705	79878.345	5488.123	24201.073	18461.623	
2.853	230665512.13	4.39	132012.379	82254.35	78823.761	5819.652	25278.008	18626.491	
2.786	235028087.08	4.052	138773.583	91498.483	82389.887	6090.845	25804.435	18687.179	
2.718	241386597.09	2.964	137896.675	88936.805	82558.466	5883.121	28496.37	18718.584	
2.693	248797051.80	4.023	137814.675	84298.476	78394.895	5678.276	21833.7	18759.345	
2.598	210171691.08	3.983	126118.856	76906.353	71238.997	5170.085	20879.463	18814.173	
2.705	229488140.07	4.909	130189.084	87211.74	79856.758	5433.632	23017.702	18672.657	
2.579	227196081.70	4.235	134716.973	83260.956	77293.055	5390.481	24265.075	18855.711	
2.453	246321427.24	4.245	133986.252	85832.363	80610.581	5720.76	26305.209	18398.574	
2.414	258900199.51	4.358	136988.134	90170.968	81393.784	5948.21	25276.128	18798.371	
2.374	257246024.58	3.775	138711.344	87029.123	83213.207	6265.715	26463.921	18856.034	
2.361	261269015.18	4.055	144306.235	81406.104	84478.83	6495.1	23224.478	18844.637	
2.294	324051079.28	3.86	144285.718	80043.428	84671.834	6589.262	25987.757	18859.118	
2.256	273359746.05	3.654	142468.542	83890.751	86179.553	6659.168	26730.042	18805.885	
2.211	263271806.78	3.436	144439.09	80126.441	85057.543	6798.821	25676.69	18857.392	
2.286	273645590.97	2.154	140673.755	80532.619	85803.837	6544.391	29088.866	19136.642	
2.274	309242249.96	4.049	137658.272	75315.71	80428.232	5934.173	24798.025	19026.574	
2.162	261528735.06	3.558	131101.552	74886.24	75859.715	5735.626	23391.791	19159.458	
2.152	266810538.84	3.343	130751.393	80432.829	81020.221	5997.605	24543.243	19052.555	
2.129	270770591.56	3.959	134852.496	73177.065	77871.574	5931.871	26998.005	19106.637	
2.178	266804553.84	4.372	132435.913	75051.602	80289.299	6128.481	25507.652	19057.506	
2.248	282553995.28	4.361	139910.819	76012.553	84328.396	6610.829	28269.578	19044.36	
2.189	293006849.36	5.301	140483.822	77971.414	83286.145	6566.306	26839.061	19268.643	
2.156	299291831.85	5.708	142222.029	85457.885	85314.041	6980.291	24770.704	19136.161	
2.169	338355841.22	4.596	149183.936	85191.351	90051.421	7734.436	29073.319	19174.5	
2.148	341117899.33	4.501	150712.582	88979.041	91581.432	8187.58	29520.633	19240.285	
2.158	324691835.54	3.899	151910.659	88270.907	89256.339	8206.935	28266.935	19182.595	
2.15	346964482.18	2.573	143433.648	86340.925	88072.928	7837.7	28850.463	19229.159	
2.138	341869007.46	3.828	148479.77	86342.306	86700.689	8061.6	26307.212	19137.436	
2.096	303307796.52	3.755	142040.797	82991.926	83189.854	7577.266	27050.533	19266.531	
2.089	290390155.91	4.542	134357.225	80689.749	82428.505	7418.008	25206.962	19074.549	
2.032	301688221.26	4.057	146469.671	81958.348	86421.633	7677.751	28969.49	19083.977	
1.982	348195598.75	5.31	145669.811	83878.453	88031.609	8441.887	27903.942	19081.174	
1.932	319210586.69	4.843	152689.744	86701.607	92762.452	9339.013	30218.806	19095.973	
1.883	337412777.53	5.354	146237.74	88811.539	89067.151	9439.685	29581.622	19098.006	
1.966	343531345.22	4.98	154621.673	90507.071	92741.744	10022.847	25697.546	19189.973	
1.9	363433652.33	4.586	159304.274	89910.222	95508.814	10371.606	31142.598	19432.598	
1.801	336853369.07	4.202	159331.561	98029.086	95767.52	10753.586	31035.687	19204.174	
1.77	356385653.93	3.439	164925.141	94946.241	97217.585	11216.876	30593.793	19255.935	
1.786	337481953.72	2.132	159919.699	92672.052	96102.633	10679.672	31813.392	17995.071	
1.774	371846684.99	3.746	157217.992	94728.689	89789.715	10297.676	26493.603	19533.507	
1.728	341605692.39	3.987	150627.675	90379.246	84915.358	10593.903	25288.013	19473.005	
1.708	337154381.74	3.443	149859.307	93493.975	89164.752	10499.134	27485.943	19470.317	
