1-2000 	1,804 	101.428.263,34 	63 	2.634 	
2-2000 	1,775 	96.561.590,59 	28 	3.004 	
3-2000 	1,7420 	91.292.905,82 	29 	2.245 	
4-2000 	1,768 	95.883.159,99 	28 	1.950 	
5-2000 	1,828 	93.425.700,23 	31 	2.768 	
6-2000 	1,808 	100.571.333,15 	23 	2.756 	
7-2000 	1,798 	115.879.522,26 	19 	2.659 	
8-2000 	1,809 	116.025.717,58 	59 	3.630 	
9-2000 	1,839 	107.097.775,81 	30 	3.315 	
10-2000 	1,88 	120.635.384,45 	27 	2.357 	
11-2000 	1,9480 	112.818.099,71 	32 	1.890 	
12-2000 	1,963 	109.684.945,00 	33 	1.509 	
1-2001 	1,954 	122.980.037,48 	50 	2.427 	
2-2001 	2,002 	106.184.313,76 	53 	2.960 	
3-2001 	2,0890 	115.066.211,49 	36 	2.205 	
4-2001 	2,192 	133.612.938,67 	33 	3.054 	
5-2001 	2,297 	123.367.695,54 	37 	2.655 	
6-2001 	2,376 	137.745.686,11 	29 	2.613 	
7-2001 	2,4660 	131.225.875,17 	24 	2.892 	
8-2001 	2,511 	152.712.730,21 	25 	2.809 	
9-2001 	2,672 	135.708.796,60 	24 	2.929 	
10-2001 	2,74 	137.599.912,54 	15 	2.636 	
11-2001 	2,543 	141.740.704,89 	11 	2.527 	
12-2001 	2,363 	130.817.434,49 	11 	1.290 	
1-2002 	2,378 	157.951.844,17 	18 	2.287 	
2-2002 	2,42 	135.795.497,60 	22 	1.629 	
3-2002 	2,347 	136.382.276,31 	28 	2.111 	
4-2002 	2,32 	137.810.181,06 	14 	2.827 	
5-2002 	2,48 	137.941.942,05 	28 	2.942 	
6-2002 	2,7140 	142.064.296,89 	21 	3.007 	
7-2002 	2,935 	151.840.240,05 	28 	3.857 	
8-2002 	3,11 	165.776.373,11 	42 	3.747 	
9-2002 	3,3420 	163.735.382,10 	20 	3.273 	
10-2002 	3,806 	159.500.264,97 	14 	3.216 	
11-2002 	3,576 	179.094.427,12 	10 	2.699 	
12-2002 	3,626 	174.673.381,10 	13 	1.472 	
1-2003 	3,438 	176.903.477,43 	47 	2.900 	
2-2003 	3,591 	191.318.034,49 	38 	2.598 	
3-2003 	3,447 	164.403.194,72 	50 	2.612 	
4-2003 	3,119 	160.719.437,95 	54 	3.150 	
5-2003 	2,956 	186.070.350,74 	63 	2.970 	
6-2003 	2,883 	177.324.864,09 	59 	3.375 	
7-2003 	2,88 	195.481.625,77 	74 	4.157 	
8-2003 	3,002 	193.320.270,26 	73 	3.378 	
9-2003 	2,923 	206.942.049,67 	29 	3.631 	
10-2003 	2,862 	203.327.487,70 	67 	3.381 	
11-2003 	2,914 	209.764.200,19 	27 	2.895 	
12-2003 	2,925 	209.741.341,82 	13 	1.266 	
